,CPE1,CPE2,CPE3,CPE4,CPE5,CPE6,CPE7,S1_LVL,S2_LVL,S3_LVL,S4_LVL,CPER2,CPEUN
114,0.09347619,0.0,0.0,0.0,9.823,0.18115,0.0,9.730769231,4.76,0.0,0.0,214.0,27.0
115,0.0,0.0,0.0,0.0,9.713873684,0.0,0.0,12.48,7.36,0.0,0.0,188.0,28.0
116,0.0,0.0,0.0,0.0,9.691180952,0.0,0.0,6.5,1.44,0.0,0.0,186.0,28.0
117,0.0,0.0,0.0,0.0,9.746602632,0.0,0.0,5.961538462,0.0,0.0,0.0,205.0,27.0
118,0.0,0.0,0.0,0.0,9.817393484,0.0,0.0,5.64,0.0,0.0,0.0,190.0,26.0
119,0.282227273,0.0,0.0,0.0,8.064444444,0.238190476,0.0,20.70833333,7.25,0.0,0.0,171.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.91666667,5.958333333,0.0,0.0,150.0,72.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,137.0,78.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28,4.291666667,1.695652174,0.0,133.0,81.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68,88.22727273,1.68,0.0,131.0,84.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.7619048,220.9545455,2.086956522,0.0,129.0,83.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.6086957,274.9130435,1.695652174,0.0,0.0,87.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.5833333,268.6818182,1.727272727,0.0,54.0,84.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11764706,193.7,2.777777778,0.0,127.0,83.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,2.894736842,0.0,142.0,10.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.011695906,0.0,234.0,10.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7826087,1.363636364,3.12865497,0.0,214.0,4.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.375,6.52173913,1.75,0.0,218.0,184.0
132,0.0,0.0,0.0,0.0,9.7548,0.0,0.0,9.625,5.058823529,2.133333333,4.647058824,227.0,199.0
133,0.0,0.0,0.0,0.0,9.7548,0.0,1.86775,9.583333333,6.458333333,2.125,5.416666667,219.0,199.0
134,0.0,0.0,0.0,0.0,9.663503496,0.0,0.0,11.96,3.666666667,0.72,0.52,154.0,198.0
135,0.0,0.0,0.0,0.0,9.651981818,0.0,0.0,6.136363636,0.0,0.0,0.0,89.0,195.0
136,0.0,0.0,0.0,0.0,9.733263636,0.0,0.0,5.185185185,0.0,0.0,0.0,3.0,192.0
137,0.0,0.0,0.0,0.0,9.662845455,0.0,0.0,4.8,0.0,0.0,0.0,179.0,190.0
138,0.264454545,0.0,0.0,0.0,9.757081579000001,0.0,0.0,11.28571429,6.857142857,0.0,0.0,213.0,190.0
139,0.0,0.0,0.0,0.0,9.696315789,0.0,0.0,10.68181818,5.428571429,0.0,0.0,144.0,189.0
140,0.0,0.0,0.0,0.0,9.7659,0.0,0.0,5.047619048,0.0,0.0,0.0,133.0,190.0
141,0.0,0.0,0.0,0.0,9.7571,0.0,0.0,5.125,0.0,0.0,0.0,181.0,191.0
142,0.0,0.0,0.0,0.0,9.748138528,0.0,0.0,4.15,0.0,0.0,0.0,164.0,191.0
143,4.881782609,0.0,0.0,0.0,13.2656,0.0,0.0,12.57142857,7.681818182,0.0,0.0,149.0,37.0
144,1.079809524,0.0,0.0,0.0,0.0,0.0,0.0,9.869565217,5.083333333,1.173913043,0.0,130.0,44.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,0.0,2.291666667,0.0,132.0,48.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,0.0,3.04,0.0,130.0,15.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041666667,0.28,1.869565217,0.0,126.0,7.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.576923077,4.259259259,219.1481481,2.407407407,105.0,7.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.807692308,42.19230769,2.153846154,5.615384615,3.0,14.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.230769231,37.04,2.636363636,0.04,96.0,13.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.434782609,31.41666667,2.263157895,0.0,261.0,10.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782608696,31.13043478,2.086956522,0.0,98.0,12.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333,24.95652174,1.739130435,0.0,49.0,14.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.80952381,0.0,35.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954545455,6.043478261,0.0,0.0,26.0,55.0
156,0.0,0.0,0.0,0.0,9.696315789,0.0,0.0,4.388888889,12.05555556,0.0,0.0,106.0,50.0
157,0.0,0.0,0.0,0.0,9.7659,0.0,0.0,4.555555556,9.944444444,0.0,0.0,115.0,42.0
158,0.0,0.0,0.0,0.0,9.7571,0.0,0.0,0.714285714,10.22727273,0.0,0.0,107.0,41.0
159,0.0,0.0,0.0,0.0,9.748138528,0.0,0.0,4.625,13.08695652,0.0,0.0,99.0,40.0
160,0.0,0.0,0.0,0.0,9.6859,0.0,0.0,2.454545455,11.40909091,0.0,0.0,1.0,41.0
161,0.0,0.0,0.0,0.0,9.7202,0.0,0.0,0.0,15.85714286,0.0,0.0,155.0,41.0
162,0.0,0.0,0.0,0.0,9.715333334,0.0,0.0,0.0,11.53846154,0.0,0.0,172.0,41.0
163,0.0,0.0,0.0,0.0,9.680890476,0.0,0.0,0.0,5.592592593,0.0,0.0,149.0,42.0
164,0.0,0.0,0.0,0.0,9.750676767,0.0,0.0,0.0,5.346153846,0.0,0.0,155.0,41.0
165,0.0,0.0,0.0,0.0,9.633541667,0.0,0.0,0.0,11.08695652,0.0,0.0,162.0,41.0
166,0.0,0.0,0.0,0.0,9.870999999999999,0.0,0.0,0.0,10.66666667,0.0,0.0,157.0,42.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,8.428571429,0.0,0.0,152.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,2.263157895,0.066666667,0.0,140.0,17.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79166667,2.541666667,3.0,0.0,128.0,18.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69230769,8.56,1.92,0.0,126.0,25.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666667,33.76,0.08,0.0,120.0,30.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.727272727,2.428571429,0.0,0.0,114.0,70.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,2.666666667,0.0,0.0,2.0,57.0
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.826086957,2.818181818,0.0,0.0,29.0,21.0
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857143,2.842105263,0.0,0.0,93.0,18.0
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.772727273,2.608695652,12.0,0.0,110.0,46.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,2.5,1.923076923,0.0,118.0,58.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130434783,2.217391304,0.0,0.0,168.0,205.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391304348,0.375,0.263157895,3.181818182,129.0,209.0
180,0.0,0.0,0.0,0.0,9.750676767,0.0,0.0,10.85714286,0.0,0.0,0.473684211,126.0,202.0
181,0.0,0.0,0.0,0.0,9.633541667,0.0,0.0,4.823529412,0.0,3.0,0.0,90.0,199.0
182,0.0,0.0,0.0,0.0,9.870999999999999,0.0,0.0,13.29411765,0.176470588,3.4,0.833333333,71.0,198.0
183,0.0,0.0,0.0,0.0,9.668944444000001,0.0,0.0,20.52380952,2.095238095,0.0,5.65,79.0,198.0
184,0.0,0.0,0.0,0.0,9.729604762000001,0.0,0.0,13.8,0.0,0.0,5.15,69.0,198.0
185,0.0,0.0,0.0,0.0,9.730550000000001,0.0,0.0,5.434782609,0.0,0.0,3.19047619,169.0,199.0
186,0.0,0.0,0.0,0.0,9.589263158,0.0,0.0,5.045454545,0.0,0.0,0.260869565,178.0,199.0
187,0.0,0.0,0.0,0.0,9.7854,0.0,0.0,3.5,0.0,0.0,0.0,159.0,195.0
188,0.35852381,0.0,0.0,0.0,9.714263158,0.281136364,0.0,16.95833333,0.0,0.0,0.0,154.0,197.0
189,0.0,0.0,0.0,0.0,9.836063158,0.0,0.0,17.95238095,0.0,0.0,0.0,150.0,197.0
190,0.0,0.0,0.0,0.0,9.74765,0.0,0.0,5.833333333,0.0,0.0,0.0,131.0,146.0
191,0.0,0.0,0.0,0.0,9.79345,0.0,0.0,5.272727273,0.0,0.0,0.0,122.0,3.0
192,0.0,0.0,0.0,0.0,9.597888889,0.0,0.0,4.619047619,0.0,0.0,0.0,118.0,4.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.70833333,2.0,0.0,0.0,85.0,23.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.82608696,0.0,1.882352941,0.0,118.0,49.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.157894737,1.428571429,3.0,0.0,118.0,95.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.045454545,6.047619048,6.0,0.0,117.0,57.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.304347826,4.47826087,6.277777778,0.0,33.0,34.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.714285714,5.8,0.0,34.0,13.0
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909090909,0.0,1.0,0.0,172.0,20.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666667,0.210526316,1.368421053,0.0,175.0,42.0
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.041666667,1.956521739,0.954545455,0.0,147.0,34.0
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.083333333,0.0,188.0,25.0
203,0.0,1.269824017,1.269824017,0.0,0.0,0.0,0.0,1.782608696,1.363636364,0.666666667,0.0,207.0,27.0
204,0.0,14.65310287,14.65310287,0.0,0.0,0.0,0.0,1.153846154,0.0,0.0,0.0,226.0,28.0
205,0.5657,4.782780392,4.782780392,0.0,1.582875,0.999947368,0.013736842,1.227272727,0.0,0.285714286,0.0,185.0,28.0
206,0.0,0.0,0.0,0.0,9.403916667,0.0,2.441695652,1.095238095,0.0,0.0,0.0,190.0,28.0
207,0.0,0.0,0.0,0.0,0.7604000000000001,0.0,5.57747619,1.125,0.0,0.0,0.0,180.0,28.0
208,0.314909091,0.022590909,0.022590909,0.0,0.7210571429999999,0.0,0.927173913,1.916666667,0.0,0.8,0.0,170.0,29.0
209,0.0,0.0,0.0,0.0,0.7277894739999999,0.0,0.0,1.785714286,0.0,0.0,0.0,105.0,28.0
210,0.0,0.0,0.0,0.0,0.722124242,0.0,0.0,1.956521739,0.0,0.0,0.0,86.0,27.0
211,0.0,0.0,0.0,0.0,0.734292105,0.0,0.0,1.925925926,0.0,0.0,0.0,56.0,29.0
212,1.082545455,0.6225,0.6225,0.0,0.739658088,0.0,0.0,10.69230769,0.0,0.0,0.0,115.0,28.0
213,0.0,0.0,0.0,0.0,0.733360526,0.0,0.0,15.85185185,0.0,0.0,0.0,174.0,28.0
214,0.0,0.0,0.0,0.0,0.72295,0.0,0.0,7.0,0.0,0.0,0.0,158.0,5.0
215,0.0,0.0,0.0,0.0,0.728602564,0.0,0.0,1.913043478,0.0,0.0,0.0,141.0,3.0
216,0.0,0.0,0.0,0.0,0.243769231,0.0,0.0,9.470588235,0.0,0.0,0.0,108.0,58.0
217,0.0,0.0,0.0,0.0,0.243769231,0.0,0.0,12.60869565,0.0,1.954545455,0.0,122.0,98.0
218,0.0,0.0,0.0,0.0,0.243769231,0.0,0.0,5.904761905,3.909090909,0.772727273,1.666666667,118.0,63.0
219,0.0,0.0,0.0,0.0,0.243769231,0.0,0.0,7.6,2.44,0.0,7.25,117.0,48.0
220,0.0,0.0,0.0,0.0,0.243769231,0.0,0.0,4.75,2.0,0.0,5.625,55.0,80.0
221,0.0,0.0,0.0,0.0,0.243769231,0.0,0.0,4.705882353,2.0,0.0,0.222222222,52.0,66.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.416666667,1.8,0.0,0.0,90.0,77.0
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.80952381,0.333333333,0.0,0.0,60.0,37.0
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333,0.0,0.0,0.0,77.0,29.0
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,48.0,21.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,73.0,186.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.956521739,0.0,0.0,0.0,51.0,191.0
228,0.1375,0.0,0.0,6.7115263160000005,4.039089744,0.0,0.0,4.272727273,2.842105263,0.0,0.0,115.0,197.0
229,0.0,0.0,0.0,0.0,15.02628425,0.0,0.0,5.434782609,2.130434783,0.0,0.0,151.0,193.0
230,0.0,0.0,0.0,0.0,13.909390109,0.0,0.0,4.88,0.0,0.0,0.0,185.0,199.0
231,0.0,0.0,0.0,0.0,15.128932692,0.0,0.0,2.222222222,0.0,0.0,0.0,192.0,196.0
232,0.0,0.0,0.0,0.0,14.429613636,0.0,0.0,0.25,0.0,0.0,0.0,115.0,196.0
233,0.0,0.0,0.0,0.0,14.529519480000001,0.0,0.0,0.083333333,0.0,0.0,0.0,126.0,195.0
234,0.0,0.0,0.0,0.0,14.3208,0.0,0.0,0.25,0.0,0.0,0.0,103.0,190.0
235,0.354391304,0.0,0.0,0.0,15.808572222000002,0.0,0.0,3.708333333,0.0,0.0,0.0,187.0,190.0
